"user_id","store_city","order_total","order_size","store_id","price_drink","placed_order_time_utc_day","placed_order_time_utc","finished_prep_time_utc","order_picked_up_time_utc","day_of_the_week","refund_total","rating","account_created","order_prep_time"
2178,"city B",26,1,"bjdwe",26,"Sunday",20:00:00,20:13:00,21:10:00,"Sunday",7,5,2021,00:13:00
9589,"city A",16,1,"acjde",16,"Monday",01:49:00,02:03:00,02:41:00,"Monday",10,4,2022,00:14:00
31,"city B",30,2,"bjdwe",15,"Sunday",03:23:00,03:43:00,05:28:00,"Sunday",3,2,2022,00:20:00
10342,"city C",29,2,"wehqk",14.5,"Saturday",02:49:00,03:00:00,04:58:00,"Saturday",0,5,2020,00:11:00
1901,"city B",27,2,"bjdwe",13.5,"Thursday",23:02:00,23:17:00,00:57:00,"Thursday",4,4,2021,00:15:00
53502,"city A",27,2,"acjde",13.5,"Saturday",02:52:00,03:12:00,03:37:00,"Saturday",5,2,2021,00:20:00
67988,"city C",26,2,"wehqk",13,"Wednesday",02:02:00,02:20:00,02:41:00,"Wednesday",0,2,2021,00:18:00
24920,"city C",24,2,"wehqk",12,"Friday",03:17:00,03:29:00,05:12:00,"Friday",0,1,2020,00:12:00
156835,"city B",24,2,"bjdwe",12,"Wednesday",04:36:00,04:48:00,06:26:00,"Wednesday",2,4,2022,00:12:00
25785,"city C",59.9,5,"wehqk",12,"Wednesday",01:38:00,01:52:00,03:33:00,"Wednesday",0,2,2019,00:14:00
7112,"city A",12,1,"acjde",12,"Friday",20:03:00,20:14:00,21:27:00,"Friday",11,5,2020,00:11:00
76264,"city B",12,1,"bjdwe",12,"Monday",02:50:00,03:01:00,03:28:00,"Monday",5,3,2022,00:11:00
93902,"city B",35.9,3,"bjdwe",12,"Sunday",04:19:00,04:32:00,04:36:00,"Sunday",4,5,2019,00:13:00
3009,"city B",47.8,4,"bjdwe",11.9,"Saturday",03:39:00,03:56:00,04:24:00,"Saturday",10,2,2020,00:17:00
3213,"city B",47.8,4,"bjdwe",11.9,"Sunday",20:51:00,21:09:00,22:33:00,"Sunday",3,0,2021,00:18:00
3201,"city B",11.9,1,"bjdwe",11.9,"Monday",03:31:00,03:46:00,04:51:00,"Monday",8,3,2020,00:15:00
93868,"city A",11.9,1,"acjde",11.9,"Sunday",20:18:00,20:31:00,22:31:00,"Sunday",9,4,2019,00:13:00
6711,"city B",59.3,5,"bjdwe",11.9,"Wednesday",01:17:00,01:37:00,01:59:00,"Wednesday",5,5,2020,00:20:00
555,"city A",59,5,"acjde",11.8,"Sunday",02:28:00,02:45:00,03:45:00,"Sunday",6,2,2021,00:17:00
78887,"city A",59,5,"acjde",11.8,"Saturday",02:47:00,03:00:00,03:04:00,"Saturday",9,3,2020,00:13:00
8703,"city A",59,5,"acjde",11.8,"Tuesday",20:50:00,21:03:00,22:50:00,"Tuesday",4,5,2021,00:13:00
68267,"city B",59,5,"bjdwe",11.8,"Saturday",20:06:00,20:26:00,21:10:00,"Saturday",1,0,2020,00:20:00
1719,"city A",11.8,1,"acjde",11.8,"Tuesday",04:22:00,04:35:00,06:06:00,"Tuesday",9,4,2019,00:13:00
45711,"city A",11.8,1,"acjde",11.8,"Thursday",02:54:00,03:06:00,03:40:00,"Thursday",4,3,2021,00:12:00
101672,"city B",58.8,5,"bjdwe",11.8,"Thursday",02:15:00,02:34:00,03:33:00,"Thursday",1,2,2019,00:19:00
16060,"city A",58.8,5,"acjde",11.8,"Saturday",02:15:00,02:35:00,03:08:00,"Saturday",1,0,2021,00:20:00
9110,"city C",23.5,2,"wehqk",11.8,"Friday",18:50:00,19:06:00,20:31:00,"Friday",7,2,2019,00:16:00
86243,"city A",23.5,2,"acjde",11.8,"Saturday",19:29:00,19:43:00,20:05:00,"Saturday",10,3,2022,00:14:00
4187,"city C",23.5,2,"wehqk",11.8,"Friday",03:34:00,03:50:00,05:07:00,"Friday",7,4,2021,00:16:00
60094,"city C",23.4,2,"wehqk",11.7,"Monday",03:10:00,03:29:00,04:09:00,"Monday",9,0,2020,00:19:00
79156,"city A",23.4,2,"acjde",11.7,"Sunday",23:43:00,23:56:00,01:42:00,"Sunday",2,4,2022,00:13:00
54477,"city C",23.4,2,"wehqk",11.7,"Friday",23:19:00,23:34:00,01:15:00,"Friday",9,0,2021,00:15:00
