user_id,store city,order total,order size,store id, price/drink ,placed order time (UTC) [DAY],placed order time (UTC),finished prep time (UTC),order picked up time (UTC),day of the week,refund total,rating,Account Created 
2178,city B,$26.0,1,bjdwe, $26.0 ,7,8:00:00 PM,8:13:00 PM,9:10:00 PM,Sunday,$7.0,5,2021
9589,city A,$16.0,1,acjde, $16.0 ,1,1:49:00 AM,2:03:00 AM,2:41:00 AM,Monday,$10.0,4,2022
31,city B,$30.0,2,bjdwe, $15.0 ,7,3:23:00 AM,3:43:00 AM,5:28:00 AM,Sunday,$3.0,2,2022
10342,city C,$29.0,2,wehqk, $14.5 ,6,2:49:00 AM,3:00:00 AM,4:58:00 AM,Saturday,$0.0,5,2020
1901,city B,$27.0,2,bjdwe, $13.5 ,4,11:02:00 PM,11:17:00 PM,12:57:00 AM,Thursday,$4.0,4,2021
53502,city A,$27.0,2,acjde, $13.5 ,6,2:52:00 AM,3:12:00 AM,3:37:00 AM,Saturday,$5.0,2,2021
67988,city C,$26.0,2,wehqk, $13.0 ,3,2:02:00 AM,2:20:00 AM,2:41:00 AM,Wednesday,$0.0,2,2021
24920,city C,$24.0,2,wehqk, $12.0 ,5,3:17:00 AM,3:29:00 AM,5:12:00 AM,Friday,$0.0,1,2020
156835,city B,$24.0,2,bjdwe, $12.0 ,3,4:36:00 AM,4:48:00 AM,6:26:00 AM,Wednesday,$2.0,4,2022
25785,city C,$59.9,5,wehqk, $12.0 ,3,1:38:00 AM,1:52:00 AM,3:33:00 AM,Wednesday,$0.0,2,2019
7112,city A,$12.0,1,acjde, $12.0 ,5,8:03:00 PM,8:14:00 PM,9:27:00 PM,Friday,$11.0,5,2020
76264,city B,$12.0,1,bjdwe, $12.0 ,1,2:50:00 AM,3:01:00 AM,3:28:00 AM,Monday,$5.0,3,2022
93902,city B,$35.9,3,bjdwe, $12.0 ,7,4:19:00 AM,4:32:00 AM,4:36:00 AM,Sunday,$4.0,5,2019
3009,city B,$47.8,4,bjdwe, $11.9 ,6,3:39:00 AM,3:56:00 AM,4:24:00 AM,Saturday,$10.0,2,2020
3213,city B,$47.8,4,bjdwe, $11.9 ,7,8:51:00 PM,9:09:00 PM,10:33:00 PM,Sunday,$3.0,0,2021
3201,city B,$11.9,1,bjdwe, $11.9 ,1,3:31:00 AM,3:46:00 AM,4:51:00 AM,Monday,$8.0,3,2020
93868,city A,$11.9,1,acjde, $11.9 ,7,8:18:00 PM,8:31:00 PM,10:31:00 PM,Sunday,$9.0,4,2019
6711,city B,$59.3,5,bjdwe, $11.9 ,3,1:17:00 AM,1:37:00 AM,1:59:00 AM,Wednesday,$5.0,5,2020
555,city A,$59.0,5,acjde, $11.8 ,7,2:28:00 AM,2:45:00 AM,3:45:00 AM,Sunday,$6.0,2,2021
78887,city A,$59.0,5,acjde, $11.8 ,6,2:47:00 AM,3:00:00 AM,3:04:00 AM,Saturday,$9.0,3,2020
8703,city A,$59.0,5,acjde, $11.8 ,2,8:50:00 PM,9:03:00 PM,10:50:00 PM,Tuesday,$4.0,5,2021
68267,city B,$59.0,5,bjdwe, $11.8 ,6,8:06:00 PM,8:26:00 PM,9:10:00 PM,Saturday,$1.0,0,2020
1719,city A,$11.8,1,acjde, $11.8 ,2,4:22:00 AM,4:35:00 AM,6:06:00 AM,Tuesday,$9.0,4,2019
45711,city A,$11.8,1,acjde, $11.8 ,4,2:54:00 AM,3:06:00 AM,3:40:00 AM,Thursday,$4.0,3,2021
101672,city B,$58.8,5,bjdwe, $11.8 ,4,2:15:00 AM,2:34:00 AM,3:33:00 AM,Thursday,$1.0,2,2019
16060,city A,$58.8,5,acjde, $11.8 ,6,2:15:00 AM,2:35:00 AM,3:08:00 AM,Saturday,$1.0,0,2021
9110,city C,$23.5,2,wehqk, $11.8 ,5,6:50:00 PM,7:06:00 PM,8:31:00 PM,Friday,$7.0,2,2019
86243,city A,$23.5,2,acjde, $11.8 ,6,7:29:00 PM,7:43:00 PM,8:05:00 PM,Saturday,$10.0,3,2022
4187,city C,$23.5,2,wehqk, $11.8 ,5,3:34:00 AM,3:50:00 AM,5:07:00 AM,Friday,$7.0,4,2021
60094,city C,$23.4,2,wehqk, $11.7 ,1,3:10:00 AM,3:29:00 AM,4:09:00 AM,Monday,$9.0,0,2020
79156,city A,$23.4,2,acjde, $11.7 ,7,11:43:00 PM,11:56:00 PM,1:42:00 AM,Sunday,$2.0,4,2022
54477,city C,$23.4,2,wehqk, $11.7 ,5,11:19:00 PM,11:34:00 PM,1:15:00 AM,Friday,$9.0,0,2021
197628,city A,$69.9,6,acjde, $11.7 ,5,2:09:00 AM,2:25:00 AM,4:18:00 AM,Friday,$7.0,0,2019
79146,city B,$23.2,2,bjdwe, $11.6 ,5,2:57:00 AM,3:08:00 AM,4:29:00 AM,Friday,$5.0,5,2020
100052,city C,$23.2,2,wehqk, $11.6 ,6,8:46:00 PM,8:58:00 PM,10:15:00 PM,Saturday,$8.0,1,2022
61738,city A,$11.6,1,acjde, $11.6 ,1,2:47:00 AM,3:03:00 AM,4:58:00 AM,Monday,$8.0,1,2022
85535,city C,$11.6,1,wehqk, $11.6 ,6,1:08:00 AM,1:26:00 AM,1:30:00 AM,Saturday,$3.0,1,2022
26789,city C,$34.6,3,wehqk, $11.5 ,7,6:47:00 PM,6:58:00 PM,8:04:00 PM,Sunday,$6.0,5,2019
103300,city B,$23.0,2,bjdwe, $11.5 ,7,3:25:00 AM,3:37:00 AM,5:31:00 AM,Sunday,$6.0,5,2020
98888,city B,$57.3,5,bjdwe, $11.5 ,5,4:28:00 AM,4:43:00 AM,5:50:00 AM,Friday,$4.0,0,2021
1457,city C,$57.3,5,wehqk, $11.5 ,2,4:20:00 AM,4:40:00 AM,6:28:00 AM,Tuesday,$2.0,2,2021
78549,city B,$45.8,4,bjdwe, $11.5 ,2,8:20:00 PM,8:32:00 PM,10:15:00 PM,Tuesday,$10.0,5,2019
114,city A,$45.8,4,acjde, $11.5 ,3,3:02:00 AM,3:15:00 AM,3:21:00 AM,Wednesday,$6.0,0,2020
9110,city C,$11.4,1,wehqk, $11.4 ,2,2:14:00 AM,2:32:00 AM,3:04:00 AM,Tuesday,$10.0,0,2019
1388,city C,$11.4,1,wehqk, $11.4 ,7,2:23:00 AM,2:38:00 AM,3:57:00 AM,Sunday,$10.0,3,2021
74371,city B,$11.4,1,bjdwe, $11.4 ,7,2:19:00 AM,2:37:00 AM,4:12:00 AM,Sunday,$9.0,1,2019
13496,city C,$11.4,1,wehqk, $11.4 ,5,3:36:00 AM,3:52:00 AM,5:36:00 AM,Friday,$6.0,5,2022
92300,city A,$11.3,1,acjde, $11.3 ,4,4:07:00 AM,4:25:00 AM,6:01:00 AM,Thursday,$8.0,2,2020
14189,city B,$11.3,1,bjdwe, $11.3 ,4,8:23:00 PM,8:41:00 PM,10:09:00 PM,Thursday,$2.0,4,2020
28366,city C,$11.3,1,wehqk, $11.3 ,7,4:05:00 AM,4:18:00 AM,6:12:00 AM,Sunday,$10.0,5,2019
2541,city C,$11.3,1,wehqk, $11.3 ,1,3:12:00 AM,3:27:00 AM,5:01:00 AM,Monday,$10.0,1,2019
79156,city A,$11.3,1,acjde, $11.3 ,6,4:50:00 AM,5:01:00 AM,6:50:00 AM,Saturday,$7.0,5,2022
106885,city C,$11.3,1,wehqk, $11.3 ,6,8:52:00 PM,9:06:00 PM,10:08:00 PM,Saturday,$4.0,1,2020
6184,city B,$11.3,1,bjdwe, $11.3 ,1,7:45:00 PM,7:58:00 PM,8:22:00 PM,Monday,$7.0,5,2019
25076,city B,$11.3,1,bjdwe, $11.3 ,6,2:00:00 AM,2:12:00 AM,2:20:00 AM,Saturday,$10.0,4,2021
11083,city C,$11.3,1,wehqk, $11.3 ,5,8:08:00 PM,8:25:00 PM,10:10:00 PM,Friday,$8.0,1,2021
12511,city A,$11.3,1,acjde, $11.3 ,3,8:33:00 PM,8:46:00 PM,10:25:00 PM,Wednesday,$5.0,5,2021
19446,city B,$67.5,6,bjdwe, $11.3 ,1,2:30:00 AM,2:45:00 AM,3:57:00 AM,Monday,$1.0,4,2020
